Question,Answer
"What is your name?","My name is BRACU Helper."
"Hello, I am BRACU Helper, How can I help you?","How are you?,I'm just a computer program, so I don't have feelings, but I'm here to help!"
"What is the weather like today?","I don't have access to real-time data, but you can check a weather app!"
"What time is it?","You can check the time on your device or a clock nearby."
"Where are you from?","I'm from the digital world, created to assist you!"
"Hi!","Hello! How can I assist you today?"
"Hello!","Hi there! What can I do for you?"
"Good morning!","Good morning! Hope you have a great day ahead."
"Good afternoon!","Good afternoon! How’s your day going?"
"Good evening!","Good evening! What can I help you with?"
"How’s it going?","It's going well! How about you?"
"How are you today?","I'm just a program, but I'm ready to help you! How are you?"
"Nice to meet you!","Nice to meet you too!"
"What’s up?","Not much, just here to assist you. What’s up with you?"
"Thank you!","You’re welcome! If you need anything else, just ask."
"Thanks a lot!","No problem! Glad I could help."
"I appreciate it!","I’m happy to assist!"
"Thanks for your help.","You’re welcome! I’m here whenever you need me."
"You’re amazing!","Thank you! You’re too kind."
"I’m grateful.","I’m glad I could help."
"Sorry!","No worries! How can I help you?"
"Excuse me.","Yes? How can I assist you?"
"Goodbye!","Goodbye! Have a great day!"
"See you later!","See you! Take care!"
"Take care!","You too! Stay safe!"
"Have a great day!","Thanks! You too!"
"Talk to you soon.","Looking forward to it!"
"Good night!","Good night! Sweet dreams!"
"I’m here!","Welcome back! How can I help?"
"Long time no see!","It’s been a while! How have you been?"
"BRACU website","Here is the website https://www.bracu.ac.bd/"
"the founder","Sir Fazle Hasan Abed KCMG (Bengali: ফজলে হাসান আবেদ) (27 April 1936 – 20 December 2019) was the founder of BRAC, one of the world's largest non-governmental organizations. https://en.wikipedia.org/wiki/Fazle_Hasan_Abed"
"Announcements","Go to this website https://www.bracu.ac.bd/. Scroll down, and you will find the announcements section."
"Academic Dates","Go to this website https://www.bracu.ac.bd/. Scroll down, and you will find the academic dates section."
"News and Events","Go to this website https://www.bracu.ac.bd/. Scroll down, and you will find the News and Events section."
"Scholarship or Financial Aid program","Visit the site https://www.bracu.ac.bd/admission/scholarships-financial-aid. For any queries, mail to scholarship@bracu.ac.bd."
"Scholarship or Financial Aid program for undergraduate","This Scholarship/Financial Aid Policy is applicable for all Undergraduate students. https://www.bracu.ac.bd/sites/default/files/aid/BracU_Scholarship%20Policy_%20UG_0.pdf"
"Scholarship or Financial Aid program for postgraduate or master","This Scholarship/Financial Aid Policy is applicable for all Postgraduate students. https://www.bracu.ac.bd/sites/default/files/aid/BracU_Scholarship%20Policy_%20PG.pdf"
"Scholarship or Financial Aid program for international or foreign student","Visit the site https://www.bracu.ac.bd/admission/scholarships-financial-aid. For any queries, mail to scholarship@bracu.ac.bd."
"Residential Campus","Brac University’s Residential Semester (RS) at Savar campus is unique among higher education experiences in Bangladesh. The RS offers a holistic curriculum based on the principle of ‘experiential learning’, which cultivates a broad range of soft skills and qualities, to complement the theoretical development that students undergo. The Residential Semester takes place at a specially designed campus in Savar, which provides a support system that aids students in becoming confident and self-reliant. https://www.bracu.ac.bd/academics/residential-campus"
